T,C0,C1,T_ns,T_ps
1920555000,193036,193748,1.920555,0.001920555
1920565000,193037,193749,1.920565,0.001920565
1920575000,193038,193750,1.920575,0.001920575
1920585000,193039,193751,1.920585,0.001920585
1920595000,193040,193752,1.920595,0.001920595
1920605000,193041,193753,1.920605,0.001920605
1920615000,193042,193754,1.920615,0.001920615
1920625000,193043,193755,1.920625,0.001920625
1920635000,193044,193756,1.920635,0.001920635
1920645000,193045,193757,1.920645,0.001920645
1920655000,193046,193758,1.920655,0.001920655
1920665000,193047,193759,1.920665,0.001920665
1920675000,193048,193760,1.920675,0.001920675
1920685000,193049,193761,1.920685,0.001920685
1920695000,193050,193762,1.920695,0.001920695
1920705000,193051,193763,1.920705,0.001920705
1920715000,193052,193764,1.920715,0.001920715
1920725000,193053,193765,1.920725,0.001920725
1920735000,193054,193766,1.920735,0.001920735
1920745000,193055,193767,1.920745,0.001920745
1920755000,193056,193768,1.920755,0.001920755
1920765000,193057,193769,1.920765,0.001920765
1920775000,193058,193770,1.920775,0.001920775
1920785000,193059,193771,1.920785,0.001920785
1920795000,193060,193772,1.920795,0.001920795
1920805000,193061,193773,1.920805,0.001920805
1920815000,193062,193774,1.920815,0.001920815
1920825000,193063,193775,1.920825,0.001920825
1920835000,193064,193776,1.920835,0.001920835
1920845000,193065,193777,1.920845,0.001920845
1920855000,193066,193778,1.920855,0.001920855
1920865000,193067,193779,1.920865,0.001920865
1920875000,193068,193780,1.920875,0.001920875
1920885000,193069,193781,1.920885,0.001920885
1920895000,193070,193782,1.920895,0.001920895
1920905000,193071,193783,1.920905,0.001920905
1920915000,193072,193784,1.920915,0.001920915
1920925000,193073,193785,1.920925,0.001920925
1920935000,193074,193786,1.920935,0.001920935
1920945000,193075,193787,1.920945,0.001920945
1920955000,193076,193788,1.920955,0.001920955
1920965000,193077,193789,1.920965,0.001920965
1920975000,193078,193790,1.920975,0.001920975
1920985000,193079,193791,1.920985,0.001920985
1920995000,193080,193792,1.920995,0.001920995
2240005000,224981,225687,2.240005,0.002240005
2240015000,224982,225688,2.240015,0.002240015
